date,category,item_name,specification,price
2025-12-04,BEEF MEAT PRODUCTS,"Beef Brisket, Imported",,380.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Brisket, Local",Meat with Bones,426.01
2025-12-04,BEEF MEAT PRODUCTS,"Beef Chuck, Local",,412.5
2025-12-04,BEEF MEAT PRODUCTS,"Beef Flank, Imported",,376.67
2025-12-04,BEEF MEAT PRODUCTS,"Beef Flank, Local",,461.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Fore Limb, Local",,460.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Forequarter, Local",,490.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Loin, Local",,485.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Plate, Local",,415.71
2025-12-04,BEEF MEAT PRODUCTS,"Beef Rib Eye, Local",,436.43
2025-12-04,BEEF MEAT PRODUCTS,"Beef Rib Set, Local",,410.3
2025-12-04,BEEF MEAT PRODUCTS,"Beef Rump, Imported",,375.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Rump, Local",Lean Meat/ Tapadera,482.81
2025-12-04,BEEF MEAT PRODUCTS,"Beef Short Ribs, Local",,422.25
2025-12-04,BEEF MEAT PRODUCTS,"Beef Sirloin, Local",,483.18
2025-12-04,BEEF MEAT PRODUCTS,"Beef Striploin, Local",,470.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Tenderloin, Imported",,400.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Tenderloin, Local",,665.0
2025-12-04,BEEF MEAT PRODUCTS,"Beef Tongue, Local",,536.0
2025-12-04,CORN PRODUCTS,Corn (White),"Cob, Glutinous",120.83
2025-12-04,CORN PRODUCTS,Corn (Yellow),"Cob, Sweet Corn",91.63
2025-12-04,CORN PRODUCTS,"Corn Cracked (Yellow, Feed Grade)",,50.0
2025-12-04,CORN PRODUCTS,Corn Grits (Feed Grade),,47.5
2025-12-04,CORN PRODUCTS,"Corn Grits (White, Food Grade)",,120.0
2025-12-04,CORN PRODUCTS,"Corn Grits (Yellow, Food Grade)",,120.0
2025-12-04,FISH PRODUCTS,Alumahan (Indian Mackerel),Medium (4-6 pcs/kg),350.0
2025-12-04,FISH PRODUCTS,"Bangus, Large",Large (1-2 pcs),268.45
2025-12-04,FISH PRODUCTS,"Bangus, Medium",Medium (3-4 pcs/kg),238.85
2025-12-04,FISH PRODUCTS,"Galunggong, Imported","Male, Medium (12-14 pcs/kg)",318.8
2025-12-04,FISH PRODUCTS,"Galunggong, Local","Male, Medium (12-14 pcs/kg)",354.24
2025-12-04,FISH PRODUCTS,"Pampano, Imported",,409.77
2025-12-04,FISH PRODUCTS,"Pampano, Local",,505.0
2025-12-04,FISH PRODUCTS,"Salmon Belly, Imported",,428.04
2025-12-04,FISH PRODUCTS,"Salmon Head, Imported",,225.84
2025-12-04,FISH PRODUCTS,Sardines (Tamban),,152.73
2025-12-04,FISH PRODUCTS,"Squid (Pusit Bisaya), Local",Medium,457.66
2025-12-04,FISH PRODUCTS,"Squid, Imported",,227.5
2025-12-04,FISH PRODUCTS,Tambakol (Yellow-Fin Tuna) Imported,"Medium, Frozen",286.67
2025-12-04,FISH PRODUCTS,Tambakol (Yellow-Fin Tuna) Local,"Medium, Fresh or Chilled",296.13
2025-12-04,FISH PRODUCTS,Tilapia,Medium (5-6 pcs/kg),153.44
2025-12-04,FRUITS,Avocado,,408.8
2025-12-04,FRUITS,Banana (Lakatan),8-10 pcs/kg,97.69
2025-12-04,FRUITS,Banana (Latundan),10–12 pcs/kg,76.22
2025-12-04,FRUITS,Banana (Saba),,53.38
2025-12-04,FRUITS,Calamansi,,109.29
2025-12-04,FRUITS,Mango (Carabao),"Ripe, 3-4 pcs/kg",213.93
2025-12-04,FRUITS,Melon,,107.03
2025-12-04,FRUITS,Papaya,"Solo, Ripe, 2-3 pcs/kg",70.65
2025-12-04,FRUITS,Pomelo,,182.5
2025-12-04,FRUITS,Watermelon,,78.79
2025-12-04,HIGHLAND VEGETABLES,"Bell Pepper (Green), Local",Medium (151-250gm/pc),275.68
2025-12-04,HIGHLAND VEGETABLES,"Bell Pepper (Red), Local",Medium (151-250gm/pc),259.21
2025-12-04,HIGHLAND VEGETABLES,"Broccoli, Imported",,406.59
2025-12-04,HIGHLAND VEGETABLES,"Broccoli, Local",Medium (8–10 cm diameter/bunch hd),347.14
2025-12-04,HIGHLAND VEGETABLES,Cabbage (Rare Ball),510 gm - 1 kg/head,84.1
