day,category,item_name,specification,price
December 11,BEEF MEAT PRODUCTS,"Beef Brisket, Imported",n/a,380.0
December 11,BEEF MEAT PRODUCTS,"Beef Brisket, Local",Meat with Bones,425.0
December 11,BEEF MEAT PRODUCTS,"Beef Chuck, Local",n/a,412.5
December 11,BEEF MEAT PRODUCTS,"Beef Flank, Imported",n/a,376.67
December 11,BEEF MEAT PRODUCTS,"Beef Flank, Local",n/a,461.0
December 11,BEEF MEAT PRODUCTS,"Beef Fore Limb, Local",n/a,460.0
December 11,BEEF MEAT PRODUCTS,"Beef Forequarter, Local",n/a,490.0
December 11,BEEF MEAT PRODUCTS,"Beef Loin, Local",n/a,584.29
December 11,BEEF MEAT PRODUCTS,"Beef Plate, Local",n/a,415.71
December 11,BEEF MEAT PRODUCTS,"Beef Rib Eye, Local",n/a,430.0
December 11,BEEF MEAT PRODUCTS,"Beef Rib Set, Local",n/a,410.3
December 11,BEEF MEAT PRODUCTS,"Beef Rump, Imported",n/a,375.0
December 11,BEEF MEAT PRODUCTS,"Beef Rump, Local",Lean Meat/ Tapadera,480.72
December 11,BEEF MEAT PRODUCTS,"Beef Short Ribs, Local",n/a,422.25
December 11,BEEF MEAT PRODUCTS,"Beef Sirloin, Local",n/a,478.9
December 11,BEEF MEAT PRODUCTS,"Beef Striploin, Local",n/a,467.39
December 11,BEEF MEAT PRODUCTS,"Beef Tenderloin, Imported",n/a,400.0
December 11,BEEF MEAT PRODUCTS,"Beef Tenderloin, Local",n/a,660.67
December 11,BEEF MEAT PRODUCTS,"Beef Tongue, Local",n/a,546.0
December 11,CORN PRODUCTS,Corn (White),"Cob, Glutinous",106.43
December 11,CORN PRODUCTS,Corn (Yellow),"Cob, Sweet Corn",94.35
December 11,CORN PRODUCTS,"Corn Cracked (Yellow, Feed Grade)",n/a,50.0
December 11,CORN PRODUCTS,Corn Grits (Feed Grade),n/a,47.5
December 11,CORN PRODUCTS,"Corn Grits (White, Food Grade)",n/a,120.0
December 11,CORN PRODUCTS,"Corn Grits (Yellow, Food Grade)",n/a,120.0
December 11,FISH PRODUCTS,Alumahan (Indian Mackerel),Medium (4-6 pcs/kg),362.69
December 11,FISH PRODUCTS,"Bangus, Large",Large (1-2 pcs),263.11
December 11,FISH PRODUCTS,"Bangus, Medium",Medium (3-4 pcs/kg),235.64
December 11,FISH PRODUCTS,"Galunggong, Imported","Male, Medium (12-14 pcs/kg)",306.96
December 11,FISH PRODUCTS,"Galunggong, Local","Male, Medium (12-14 pcs/kg)",364.12
