item_name,predicted_price,date,week_num,category,specification
Alumahan (Indian Mackerel),400.36,2025-12-24,52,FISH PRODUCTS,Medium (4-6 pcs/kg)
Ampalaya,199.43,2025-12-24,52,LOWLAND VEGETABLES,4-5pcs/kg
Avocado,459.57,2025-12-24,52,FRUITS,
Banana (Lakatan),109.05,2025-12-24,52,FRUITS,8-10 pcs/kg
Banana (Latundan),84.83,2025-12-24,52,FRUITS,10–12 pcs/kg
Banana (Saba),59.73,2025-12-24,52,FRUITS,
"Bangus, Large",297.36,2025-12-24,52,FISH PRODUCTS,Large (1-2 pcs)
"Bangus, Medium",266.53,2025-12-24,52,FISH PRODUCTS,Medium (3-4 pcs/kg)
Basmati Rice,236.32,2025-12-24,52,IMPORTED COMMERCIAL RICE,
"Beef Brisket, Imported",425.6,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Brisket, Local",475.89,2025-12-24,52,BEEF MEAT PRODUCTS,Meat with Bones
"Beef Chuck, Local",462.35,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Flank, Imported",421.87,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Flank, Local",518.36,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Fore Limb, Local",516.13,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Forequarter, Local",548.8,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Loin, Local",616.36,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Plate, Local",461.09,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Rib Eye, Local",487.42,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Rib Set, Local",458.3,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Rump, Imported",420.0,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Rump, Local",539.31,2025-12-24,52,BEEF MEAT PRODUCTS,Lean Meat/ Tapadera
"Beef Short Ribs, Local",472.41,2025-12-24,52,BEEF MEAT PRODUCTS,
"Beef Sirloin, Local",538.67,2025-12-24,52,BEEF MEAT PRODUCTS,
